1,6,25,8
1,3,12,8
1,6,23,8
1,6,25,8
1,7,26,8
1,8,29,8
1,9,34,8
1,9,33,8
1,5,19,8
1,9,34,8
1,9,33,8
1,7,26,8
1,6,25,8
1,9,34,8
1,9,34,8
1,8,30,8
1,4,17,8
1,8,30,8
1,9,35,8
1,9,36,8
1,8,30,8
1,6,22,8
1,9,34,8
1,9,35,8
1,9,36,8
1,8,31,8
1,6,23,8
2,0,4,8
1,2,9,8
1,9,35,8
1,9,36,8
1,9,36,8
1,8,30,8
1,5,19,8
1,4,17,8
1,4,17,8
1,9,35,8
1,9,36,8
1,9,35,8
1,6,22,8
1,5,19,8
1,3,12,8
1,0,1,8
1,5,20,8
1,8,31,8
1,9,35,8
1,9,35,8
1,9,35,8
1,8,31,8
1,8,31,8
1,8,32,8
1,3,11,8
1,3,13,8
1,9,35,8
1,9,34,8
1,9,36,8
1,9,35,8
1,9,36,8
1,9,33,8
1,7,27,8
1,6,24,8
1,4,16,8
1,9,33,8
1,9,35,8
1,9,35,8
1,9,36,8
1,9,36,8
1,9,36,8
1,8,33,8
1,5,21,8
1,4,16,8
1,3,13,8
1,2,10,0
2,0,1,0
1,5,21,8
1,7,26,8
1,9,34,8
1,9,35,8
1,9,34,8
1,9,36,8
1,9,36,8
1,9,35,8
1,6,25,8
1,5,19,8
1,8,29,8
1,8,31,0
1,8,29,0
2,0,5,0
2,0,0,8
1,0,1,8
1,0,1,8
1,1,4,8
1,3,11,8
1,8,33,8
1,7,28,8
1,9,35,8
1,9,35,8
1,9,35,8
1,9,36,8
1,9,36,8
1,9,36,8
1,8,30,8
1,8,30,0
1,8,33,0
1,8,31,0
1,8,32,0
2,0,8,0
1,0,1,8
1,4,15,8
1,7,28,8
1,5,21,8
1,3,10,8
1,1,6,8
1,4,17,8
1,6,23,8
1,8,30,8
1,5,21,8
1,1,5,8
1,0,1,8
1,3,13,8
1,8,31,8
1,9,36,8
1,5,21,8
1,4,16,8
1,4,17,8
1,8,30,8
1,8,31,8
1,9,35,8
1,9,36,8
2,0,0,8
1,1,4,8
1,7,29,8
1,8,30,8
1,9,34,8
1,9,33,8
1,7,28,8
1,9,35,8
1,9,35,8
1,9,36,8
1,9,35,8
1,9,36,8
1,9,34,8
1,9,34,8
1,9,36,0
1,9,34,0
1,7,29,0
1,7,29,0
1,4,15,0
1,1,2,8
1,7,27,8
1,4,17,8
1,8,31,8
1,5,20,8
1,3,10,8
1,6,25,8
1,7,29,8
1,8,33,8
1,7,26,8
1,5,19,8
1,6,23,8
1,9,33,8
1,8,32,8
1,8,31,8
1,3,12,8
1,6,23,8
1,9,35,8
1,9,35,7
1,9,34,8
1,9,36,8
1,8,32,8
1,9,34,12
1,9,35,12
1,9,35,12
1,9,35,12
1,9,35,12
1,9,34,8
1,5,20,8
1,9,35,8
1,9,35,8
1,9,35,8
1,9,35,8
1,8,31,8
1,6,25,8
1,8,33,8
1,5,19,8
2,0,6,8
1,6,23,8
1,9,35,8
1,7,26,8
1,9,36,8
1,9,35,8
1,9,36,8
1,9,36,8
1,9,36,8
1,9,34,8
1,9,35,0
1,9,35,0
1,9,33,0
1,9,34,0
1,8,30,0
1,5,18,0
2,0,3,0
1,2,6,8
1,4,17,8
1,7,25,8
1,4,15,8
2,0,2,8
2,0,1,8
2,0,1,8
2,0,8,8
1,4,16,8
1,4,16,8
1,4,15,8
1,5,19,8
1,9,35,8
1,9,35,8
1,6,24,8
2,0,9,8
1,8,33,8
1,7,27,8
1,8,33,8
1,9,35,8
1,9,36,8
1,9,36,8
1,9,33,8
1,9,35,12
1,9,36,12
1,9,36,12
1,9,36,12
1,9,35,12
1,9,33,12
1,9,35,8
1,9,35,8
1,9,36,8
1,9,36,8
1,9,35,8
1,9,35,8
1,9,34,8
1,9,36,8
1,9,35,8
1,9,35,8
1,9,36,8
1,3,11,8
2,0,6,8
1,5,18,8
